Inf,Name,Media Description,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Bukayo Saka,Elite winger,21,13,14,17,14,15,9,7,16,6,9,13,15,10,16,12,16,12,14,14,16,15,16,9,16,10,17,15,15,17,16,17,9,18,15,16,12,174,186
,Eduardo Camavinga,Wonderkid,20,6,12,12,11,15,6,14,12,13,15,15,7,15,15,15,17,15,14,14,14,13,12,12,14,15,16,13,18,16,14,15,11,16,16,19,17,170,180
,Ronald Araujo,Elite centre-back,24,5,7,11,11,13,7,17,11,10,18,11,13,17,12,16,16,18,15,17,14,16,9,16,7,15,15,11,17,14,13,12,16,15,16,16,16,170,176
Wnt,Achraf Hakimi,Attacking full back,24,7,15,13,13,14,13,8,13,12,11,14,8,13,14,14,13,12,12,11,12,13,13,9,17,11,12,13,13,18,15,14,9,17,19,15,11,160,164
,Ousmane Dembélé,Elite winger,26,12,16,18,12,16,10,7,12,5,4,13,11,6,17,9,11,11,11,11,10,11,18,10,14,5,9,15,11,18,17,11,8,12,18,12,11,167,174
Wnt,Kingsley Coman,Elite winger,27,11,12,18,12,15,10,8,13,6,8,14,10,8,17,13,13,12,12,12,13,11,17,11,13,8,12,14,12,18,17,12,10,10,17,12,10,160,170
,Romelu Lukaku,Elite striker,30,4,9,13,18,13,11,15,14,4,5,13,20,9,13,16,14,15,13,13,12,16,13,16,15,5,17,11,12,15,9,20,16,13,15,14,20,157,170
,Declan Rice,Elite midfielder,24,13,13,14,9,14,8,14,9,10,15,15,11,17,15,13,18,15,17,15,18,15,10,16,16,17,19,14,17,13,13,14,14,18,14,17,14,176,182
,Martin Ødegaard,World class midfielder,24,16,15,16,13,18,14,8,17,4,10,17,14,9,18,8,18,10,16,15,17,14,16,14,17,9,18,19,15,13,16,15,9,13,13,15,11,173,180
,Leroy Sané,Elite winger,27,14,12,18,14,15,16,8,17,7,7,16,12,8,17,13,15,11,15,12,14,10,16,8,14,8,13,16,11,17,16,15,11,14,18,13,11,168,172
,Oscar,Elite attacking midfielder,31,10,14,14,12,14,13,8,13,9,10,15,12,13,16,12,14,12,14,12,12,10,16,8,17,14,15,16,11,13,14,12,9,18,14,12,10,141,175
,Matthijs de Ligt,Elite centre-back,23,4,7,10,8,12,10,16,12,7,16,13,8,16,12,16,14,18,12,13,14,14,8,17,9,16,14,12,16,12,11,16,16,12,14,14,18,159,173
,Bruno Fernandes,Elite attacking midfielder,28,16,16,11,15,17,16,10,16,4,3,18,19,8,17,18,17,17,14,13,13,15,17,17,17,8,15,18,17,13,15,13,9,20,13,19,10,171,174
,Federico Valverde,World class midfielder,24,13,12,13,13,14,14,12,17,10,13,15,8,13,13,12,13,15,11,13,12,13,14,13,14,12,17,13,17,17,15,15,12,17,17,17,14,171,175
,Milan Škriniar,Elite centre-back,28,4,7,9,9,11,4,16,6,11,18,12,10,16,10,17,16,17,13,14,13,16,7,14,9,14,16,10,16,13,11,16,16,15,14,15,18,153,168
,Jamal Musiala,Wonderkid,20,8,8,19,13,16,8,8,13,6,9,15,11,10,18,12,14,12,14,12,13,14,18,6,13,9,15,15,15,14,18,16,10,14,16,13,9,166,185
,Kim Min-Jae,Elite centre-back,26,2,7,11,7,12,3,16,6,7,16,14,6,16,12,17,15,17,15,14,14,16,8,13,8,16,13,12,17,14,12,16,16,16,15,15,17,160,165
,Pedri,Wonderkid,20,9,15,17,10,18,9,6,10,5,6,17,11,9,18,10,17,11,16,14,16,12,17,10,13,8,13,18,15,14,16,13,7,14,13,16,8,162,175
Inj,Éder Militão,Elite centre-back,25,9,10,12,8,12,10,15,11,11,15,14,13,16,12,15,16,16,13,13,14,13,10,16,12,16,14,12,16,16,15,15,15,18,16,16,16,164,168
,Frenkie de Jong,Defensive midfielder,26,12,13,16,11,17,13,10,10,6,9,17,11,11,17,9,17,10,16,14,16,13,15,12,15,14,17,18,13,14,16,15,10,13,13,14,11,165,181
,Julián Álvarez,Striker,23,14,11,14,15,16,13,10,14,6,5,13,13,8,15,11,14,12,15,12,15,12,17,7,15,8,16,13,16,15,14,14,7,15,13,16,13,158,180
,Dušan Tadić,Veteran winger,34,15,16,13,12,16,16,8,12,9,6,18,14,4,17,14,17,17,17,18,17,16,12,19,15,6,15,16,13,9,13,16,11,20,9,13,14,145,160
,Raphaël Varane,Elite centre-back,30,3,4,8,6,13,4,17,2,7,16,13,10,15,12,11,17,13,12,15,13,12,5,14,4,16,13,6,12,15,14,11,17,15,15,14,15,154,172
,Aurélien Tchouameni,World class midfielder,23,8,10,13,6,14,6,14,13,8,15,15,10,16,14,16,16,16,15,14,15,14,13,11,13,15,15,14,16,14,14,15,14,16,14,17,16,163,184
Wnt,Manuel Akanji,Elite centre-back,27,4,8,11,6,13,9,13,11,12,15,13,8,16,12,13,15,16,16,15,13,12,9,10,9,13,14,13,13,14,13,13,15,13,15,14,17,154,156
Wnt,Jack Grealish,Elite attacking midfielder,27,13,15,16,12,15,11,11,12,3,6,14,12,9,15,9,13,14,14,12,14,12,16,12,13,11,14,16,16,15,16,13,7,15,14,14,14,161,175
IPR,Alphonso Davies,Explosive full-back,22,10,11,16,9,12,11,9,9,14,9,12,11,14,13,15,11,15,12,10,12,15,16,8,13,10,13,12,16,19,14,12,11,14,19,15,12,155,169
,Nathan Aké,Elite centre-back,28,2,10,13,8,14,6,15,10,10,15,14,3,15,14,12,16,16,16,15,14,13,6,14,5,15,14,13,16,15,14,13,12,14,15,15,15,156,164
,N'Golo Kanté,World class midfielder,32,6,10,12,10,14,6,9,10,6,12,15,8,18,14,15,18,15,14,16,16,17,13,5,14,15,19,14,18,14,13,14,7,18,14,17,11,153,170
,Kyle Walker,Experienced full-back,33,3,10,13,6,12,10,12,7,11,13,12,5,12,12,13,15,13,12,12,12,14,10,15,12,13,14,11,15,18,12,12,10,20,17,16,12,151,164
,Dayot Upamecano,Elite centre-back,24,3,7,12,7,13,3,14,7,10,15,16,7,17,13,16,14,17,16,13,14,14,12,12,10,15,16,16,15,15,12,16,15,13,17,14,17,152,164
,Raheem Sterling,Winger,28,7,12,14,12,12,9,11,11,4,6,12,11,7,12,12,17,11,11,12,12,11,14,12,19,8,12,12,14,16,17,13,7,20,14,17,11,149,180
,Antonio Rüdiger,Elite centre-back,30,5,10,10,7,10,9,15,8,14,15,12,7,17,11,18,15,18,13,15,16,15,9,18,8,14,13,10,15,17,10,17,15,15,16,17,18,158,166
,Leon Goretzka,World class midfielder,28,8,10,12,11,15,10,16,14,8,12,15,11,15,15,14,16,16,13,14,14,16,12,14,16,13,16,14,17,12,11,15,16,12,15,17,17,155,170
,Mauro Icardi,Elite striker,30,4,10,12,18,15,8,19,11,2,5,14,17,5,14,10,18,12,18,12,15,12,16,12,17,7,13,14,11,11,12,14,12,14,11,13,13,148,174
,Marcus Rashford,Elite winger,25,6,13,15,16,14,13,12,13,3,2,14,16,3,15,13,14,9,13,13,11,15,18,12,16,4,12,13,8,18,16,16,12,17,17,15,15,160,165
,Thiago Silva,Elite centre-back,38,4,5,8,7,13,8,17,6,7,17,12,13,15,13,17,16,15,19,17,16,13,8,19,8,19,14,12,14,9,9,15,13,14,8,13,13,147,174
,Alex Oxlade-Chamberlain,Midfielder,29,9,13,16,12,15,11,8,13,6,10,14,12,12,15,11,14,12,14,13,13,12,15,9,15,8,12,14,16,14,14,14,8,12,13,12,14,135,158
,Benjamin Pavard,Elite centre-back,27,4,12,10,9,14,4,16,13,13,15,14,6,15,14,13,16,14,17,16,14,13,11,12,12,16,17,13,16,12,13,15,15,15,14,14,13,156,160
,Toni Kroos,Cultured midfielder,33,19,18,13,13,18,14,7,17,8,8,20,13,9,16,9,16,9,18,14,17,8,11,12,15,13,16,18,10,10,9,12,10,12,10,10,13,154,176
,Jordi Alba,Experienced full-back,34,12,14,13,13,16,10,5,10,12,12,13,10,14,15,15,15,15,12,12,14,14,13,13,17,12,15,15,16,17,14,15,6,13,15,14,9,146,166
,Joško Gvardiol,Elite centre-back,21,2,12,13,7,14,6,13,8,12,14,14,7,14,13,15,14,17,16,14,13,15,13,14,12,14,15,15,16,14,12,15,13,15,15,14,16,152,178
Inj,Thomas Müller,Experienced attacking midfielder,33,11,16,11,12,14,8,14,11,7,9,15,13,11,13,15,16,14,16,15,14,16,12,17,16,11,19,16,17,12,12,16,13,18,13,16,11,152,174
,Cole Palmer,Elite attacking midfielder,21,13,13,17,17,17,13,9,15,4,7,14,15,9,17,8,14,8,14,13,15,8,16,7,14,9,13,15,14,16,16,17,14,13,15,14,9,161,184
,Jules Koundé,Elite centre-back,24,6,13,12,9,13,5,15,7,8,16,13,8,15,13,14,16,15,14,12,14,14,12,13,12,15,15,14,16,15,16,16,13,15,14,15,14,156,165
,Hakan Çalhanoğlu,Cultured midfielder,29,19,17,11,13,17,16,7,17,4,10,18,19,13,16,11,14,10,17,13,15,10,16,10,13,12,17,17,11,12,14,12,7,16,12,13,9,160,160
,Mateo Kovačić,World class midfielder,29,10,10,16,8,16,12,10,9,7,12,14,12,15,17,14,16,14,18,11,14,15,16,11,13,12,15,15,17,15,12,16,9,12,14,14,13,150,172
,Karim Benzema,Elite striker,35,10,12,16,17,20,12,14,12,7,6,17,16,9,20,7,15,10,17,11,15,14,17,12,15,10,15,17,12,12,13,15,11,11,12,12,14,159,185
,Luis Díaz,Elite winger,26,9,12,17,14,18,10,13,13,3,7,14,7,5,18,11,13,11,14,13,13,13,18,4,15,8,13,14,14,17,17,14,10,14,16,13,10,162,172
,Paulo Dybala,Elite forward,29,15,15,17,15,17,16,11,17,4,3,17,15,3,18,9,15,9,13,10,14,12,18,11,14,3,14,17,11,14,18,18,7,11,12,9,10,147,177
,Luka Modrić,World class midfielder,37,16,16,17,9,20,13,8,14,7,8,19,14,11,19,12,17,14,18,18,18,15,13,14,15,15,17,19,15,11,13,13,7,13,11,11,8,165,180
,İlkay Gündoğan,World class midfielder,32,10,11,14,13,17,15,7,12,6,11,16,14,13,16,15,17,13,16,14,14,13,13,14,16,13,16,16,15,14,16,14,10,13,13,16,13,164,167
,Mats Hummels,Elite centre-back,34,4,11,11,8,14,7,16,9,8,15,16,12,17,15,13,18,16,17,16,14,14,13,16,9,16,15,16,12,9,9,15,16,16,12,11,16,153,177
Wnt,Theo Hernández,Attacking full back,25,10,15,14,12,14,11,13,15,7,13,12,14,14,13,18,15,13,12,10,11,14,12,14,17,12,12,12,13,17,14,16,12,16,18,16,14,158,164
Inj,Adrien Rabiot,World class midfielder,28,11,14,13,13,15,9,14,14,8,11,16,12,16,15,12,13,14,13,12,11,8,10,14,14,16,17,12,16,13,12,16,14,18,16,18,18,156,159
,Lucas Hernández,Elite centre-back,27,4,13,12,6,14,8,14,7,12,16,14,7,16,13,17,16,19,14,15,14,17,10,13,12,16,16,12,18,14,13,15,15,12,15,15,14,158,165
,Edinson Cavani,Veteran striker,36,12,12,10,16,15,14,18,13,4,9,12,16,8,13,15,14,15,14,13,12,15,10,14,15,11,14,10,18,12,13,13,13,17,12,12,14,143,174
Wnt,Florian Wirtz,Wonderkid,20,15,13,18,13,18,13,8,12,7,9,18,13,12,19,12,14,12,16,13,14,14,18,10,13,9,15,18,16,15,17,14,8,13,16,16,9,165,166
,Sergej Milinković-Savić,World class midfielder,28,8,9,14,15,15,14,17,15,6,8,16,13,12,15,14,15,17,13,11,14,14,16,14,17,11,15,15,15,11,11,16,16,20,13,17,18,153,170
,Edin Džeko,Powerful striker,37,4,10,11,15,16,8,17,11,7,8,15,13,7,16,8,16,15,12,11,16,17,12,20,16,8,18,14,16,9,7,20,18,20,7,12,18,145,168
nEU,Dušan Vlahović,Striker,23,5,8,12,17,13,16,15,14,7,6,12,17,7,13,15,18,16,15,15,14,13,15,11,15,5,14,11,15,12,13,16,15,12,15,16,18,154,165
,Iñaki Williams,Pacy goalscorer,29,7,11,14,14,14,9,13,10,7,7,10,9,7,14,10,12,15,12,12,12,10,11,7,14,11,12,12,15,17,14,11,12,18,18,14,13,159,159
,Marcelo Brozović,Midfielder,30,13,10,9,10,15,12,10,11,4,11,16,10,13,15,14,14,13,14,15,13,14,12,14,12,13,16,14,16,10,11,14,9,15,11,17,11,146,165
,Alessandro Bastoni,Centre-back,24,4,11,11,8,14,5,15,8,12,15,15,8,16,14,14,15,17,13,14,13,14,12,12,11,14,17,15,17,14,13,16,15,17,15,14,15,154,165
,João Félix,Unpredictable attacking midfielder,23,10,11,17,13,17,12,11,13,3,4,16,14,6,18,11,15,9,15,12,13,11,19,7,16,6,9,17,9,13,16,12,8,14,12,12,8,147,170
,Marquinhos,Centre-back,29,4,11,10,8,13,4,16,10,7,16,14,8,16,13,14,17,15,16,16,15,15,10,15,8,16,17,13,15,13,13,16,14,15,14,16,14,162,165
Inj,Christopher Nkunku,Attacking midfielder,25,15,12,16,14,15,16,12,14,5,8,15,15,8,16,14,16,12,16,12,13,13,17,8,17,8,12,15,12,15,16,12,10,13,16,14,12,162,165
Wnt,Andreas Christensen,Centre-back,27,5,9,11,9,13,5,14,8,12,15,13,9,14,13,10,17,11,16,16,17,9,7,9,9,16,15,10,13,12,14,12,14,14,15,13,11,154,165
Wnt,Federico Chiesa,Winger,25,8,13,16,14,15,5,9,14,4,5,13,10,5,14,16,12,13,15,10,12,16,16,12,15,6,11,13,14,16,14,13,8,10,17,12,13,153,165
Wnt,Ferland Mendy,Full-back,28,5,13,13,7,13,5,9,11,13,13,12,7,13,13,14,14,17,14,12,11,13,13,6,13,14,15,11,17,17,15,16,11,15,16,16,15,149,160
,Sergio Ramos,Veteran centre-back,37,8,10,11,10,13,12,17,10,11,14,14,16,14,13,17,13,16,13,11,11,18,12,19,10,13,12,12,13,11,11,13,14,18,12,12,13,142,174
,Gedson Fernandes,Tireless midfielder,24,7,8,16,8,14,8,9,8,7,10,12,10,14,14,12,12,16,12,14,12,15,16,10,12,10,17,11,17,15,14,16,11,18,14,17,14,135,145
,Philippe Coutinho,Unpredictable attacking midfielder,31,13,14,18,12,17,16,9,14,4,5,15,13,6,18,10,13,9,14,11,10,8,18,10,14,7,10,17,10,14,15,12,7,10,11,13,9,143,170
Wnt,Serge Gnabry,Winger,27,12,11,15,15,14,12,11,15,6,8,13,13,9,15,11,16,12,13,11,13,10,15,9,17,8,11,13,12,15,15,15,8,11,15,12,11,153,165
,Nico Williams,Wonderkid,20,7,14,14,12,15,8,12,10,8,9,13,14,9,15,8,13,13,13,12,13,15,12,11,15,13,13,14,14,15,15,11,10,13,14,13,14,151,171
,Marco Verratti,Midfield entertainer,30,14,17,16,10,18,13,6,13,6,12,18,15,15,17,14,17,16,18,14,15,12,18,12,14,13,17,17,13,12,15,16,6,12,12,12,9,155,165
nEU,Danilo,Centre-back,31,4,13,11,8,14,5,13,11,8,13,14,11,15,14,11,16,16,13,15,14,14,12,16,12,16,16,14,16,13,13,13,12,15,13,14,13,145,156
,Nicolás Otamendi,Commanding centre-back,35,5,9,11,10,13,6,15,6,11,18,13,10,16,12,17,18,20,14,15,13,16,6,20,13,14,18,13,18,9,13,16,13,18,10,16,15,156,159
Inj,João Palhinha,Defensive midfielder,27,5,11,12,9,13,4,15,13,10,14,14,10,18,14,14,16,17,15,16,15,13,6,14,13,17,15,13,15,11,10,14,15,15,12,15,16,157,164
,Dani Carvajal,Full-back,31,11,14,13,10,13,8,10,11,13,13,13,9,15,12,17,15,18,13,13,14,14,12,14,17,15,16,12,18,15,14,17,8,14,14,16,13,155,162
,Luis Alberto,Midfield orchestrator,30,15,12,15,15,17,14,6,16,4,8,17,15,10,16,12,15,13,13,13,16,15,20,14,15,10,16,18,15,11,12,12,10,15,11,13,12,149,160
,Casemiro,Strong defensive midfielder,31,10,11,11,11,14,10,16,14,10,14,14,13,16,14,18,17,17,12,15,13,16,12,17,13,16,16,13,16,11,11,14,14,12,12,14,17,153,170
,Kieran Trippier,Full-back,32,17,16,12,9,15,16,12,12,11,14,16,5,15,16,12,15,13,15,13,16,13,8,18,15,14,17,16,17,13,12,14,9,16,13,16,13,159,159
,Yannick Carrasco,Winger,29,14,13,16,13,14,15,8,13,6,4,13,15,4,17,11,12,10,14,12,13,13,16,9,16,7,10,15,12,15,14,14,10,12,16,13,11,146,165
nEU,Khvicha Kvaratskhelia,Confident winger,22,8,14,19,15,19,12,11,14,4,4,16,16,7,18,11,12,12,14,12,15,15,19,10,13,5,11,15,12,15,18,13,9,16,14,11,10,162,173
,Ciro Immobile,Experienced striker,33,4,4,12,17,12,4,16,12,4,4,12,19,7,12,14,19,15,14,12,12,18,12,15,19,3,16,11,18,13,13,16,11,14,13,14,13,148,165
,Bruno Guimarães,Defensive midfielder,25,11,12,16,13,18,12,11,12,5,13,18,11,14,18,18,16,15,18,15,15,12,14,12,14,16,15,17,16,13,13,15,12,14,11,14,14,166,170
,William Saliba,Enthusiastic centre-back,22,6,10,11,9,14,6,16,11,6,15,13,10,16,13,15,17,14,17,15,15,13,11,10,8,14,17,12,15,14,14,15,16,14,14,16,16,164,182
,José Giménez,Centre-back,28,7,10,11,7,12,6,16,8,13,15,12,11,15,12,15,15,16,15,15,15,13,10,13,10,15,16,11,16,12,11,13,13,11,12,14,15,148,166
,Fabinho,Defensive midfielder,29,7,11,13,9,15,8,14,12,9,14,15,15,16,15,16,14,15,16,14,14,13,11,10,12,16,17,13,15,11,12,14,15,16,12,16,15,148,170
,João Cancelo,Attacking full back,29,13,16,16,9,16,13,10,13,14,9,16,11,13,17,15,13,12,14,10,13,11,17,7,14,11,12,16,12,15,15,14,12,14,15,14,12,154,167
,David Alaba,Full-back,31,12,12,12,10,15,15,13,14,13,14,16,14,13,15,13,14,12,14,14,14,14,12,15,14,15,15,13,14,15,13,14,12,18,15,14,13,153,174
,Memphis Depay,Winger,29,13,13,15,15,16,14,11,14,2,3,15,14,3,16,9,13,13,13,10,11,13,17,14,14,5,10,14,11,15,14,13,9,13,16,13,14,144,161
,Sergio Busquets,Veteran midfielder,34,8,11,12,8,16,8,11,9,8,15,17,10,15,16,10,19,12,18,18,18,14,9,13,10,17,19,16,15,8,9,12,14,15,9,12,11,149,171
Frt,Ángel Di María,Cultured winger,35,16,17,18,13,17,14,5,17,4,4,18,14,7,20,12,16,12,17,12,13,14,17,10,15,4,10,18,10,13,16,11,10,15,12,12,9,153,174
,Thomas Partey,Defensive midfielder,30,8,11,14,10,15,9,13,14,10,12,15,8,14,16,13,16,14,16,14,15,12,13,12,15,15,15,14,15,13,13,14,14,11,13,14,14,151,162
,Riyad Mahrez,Experienced winger,32,15,17,17,16,20,14,8,13,4,5,16,13,7,19,6,13,7,16,11,14,11,17,5,15,5,12,17,10,14,16,15,9,14,13,13,8,149,165
,Luis Suárez,Cultured striker,36,15,15,15,18,18,16,13,15,8,8,16,16,9,16,17,16,18,19,13,15,18,18,15,17,8,13,15,9,9,9,9,11,16,10,10,14,150,188
,Marco Reus,Cultured attacking midfielder,34,14,13,13,13,16,16,8,15,7,8,15,13,9,16,14,16,12,16,14,13,14,15,13,16,10,15,15,15,12,14,15,8,14,12,12,9,146,170
,Trent Alexander-Arnold,Full-back,24,14,17,12,8,17,14,11,12,14,10,18,12,12,17,12,14,11,16,12,14,11,13,13,15,10,16,17,13,14,14,14,11,15,14,14,14,162,174
,Kai Havertz,Attacking midfielder,24,10,10,14,11,17,11,14,11,8,8,16,13,10,17,11,15,11,11,10,14,8,15,7,15,11,15,15,13,14,13,13,14,16,14,15,13,154,180
,Koke,Defensive midfielder,31,15,15,13,12,14,14,9,14,6,12,16,10,14,14,14,15,15,15,15,15,14,10,16,13,15,17,15,16,13,12,15,9,14,13,15,12,156,162
,Olivier Giroud,Powerful striker,36,4,7,11,16,14,12,19,12,6,8,12,17,8,14,14,18,17,16,16,16,18,14,17,16,7,18,14,16,10,14,19,17,16,12,14,18,152,160
,Sadio Mané,Winger,31,9,11,16,14,14,8,12,12,9,8,12,12,8,16,13,15,14,13,10,12,15,15,11,16,8,13,14,13,15,15,13,10,16,15,13,12,144,185
,Pepe,Veteran centre-back,40,6,8,10,8,11,8,15,8,8,18,12,8,16,11,17,15,18,10,14,15,16,8,20,12,15,15,10,13,11,12,12,16,13,13,14,14,152,165
,Dominik Szoboszlai,Cultured midfielder,22,16,13,13,11,15,16,7,15,5,8,16,16,10,16,12,13,12,14,12,13,14,16,13,14,9,14,15,15,14,12,13,11,15,17,16,11,155,170
,Gavi,Wonderkid,18,12,13,14,11,15,11,6,11,8,12,15,9,13,15,19,15,19,14,14,14,16,15,13,16,12,16,15,18,14,17,15,6,16,13,14,11,156,161
Inj,Presnel Kimpembe,Centre-back,27,3,8,9,5,12,4,14,5,7,15,11,9,15,12,17,14,18,14,12,12,14,8,13,9,14,15,9,15,12,11,13,13,15,12,13,14,138,162
,Aymeric Laporte,Centre-back,29,6,9,12,8,13,10,16,11,8,14,15,11,14,15,14,14,15,16,13,16,12,10,12,11,16,16,14,13,11,10,13,16,15,13,14,15,149,170
,Marcus Thuram,Striker,25,4,11,17,14,16,6,13,14,4,5,14,13,7,16,13,14,12,13,10,12,11,17,8,15,6,13,14,12,16,14,16,14,15,17,14,16,157,170
,Iago Aspas,Veteran striker,35,12,12,15,16,15,15,13,15,6,5,14,16,6,16,12,16,16,16,14,16,13,17,19,17,8,18,15,14,14,14,15,11,17,12,11,7,149,160
,Mikel Merino,Midfielder,27,8,11,14,10,14,10,14,12,8,14,16,10,13,15,15,13,15,13,15,14,14,13,12,14,14,15,16,15,12,13,13,14,16,13,17,16,153,159
,Randal Kolo Muani,Striker,24,6,9,14,14,15,7,13,10,6,6,13,15,6,15,13,14,12,14,12,13,13,16,9,16,6,12,14,12,17,15,14,15,16,17,14,13,152,160
Wnt,José Gayà,Full-back,28,14,14,14,8,15,14,5,11,8,12,14,13,14,15,12,15,13,14,14,16,14,14,16,16,14,15,15,15,16,16,13,7,14,16,15,11,153,160
,Raphinha,Winger,26,15,14,16,13,16,14,8,15,11,8,14,14,11,16,14,14,14,13,12,14,13,15,8,16,8,12,14,15,16,16,14,7,11,15,14,9,154,163
,Rodrigo De Paul,Midfield orchestrator,29,15,15,15,13,15,14,8,15,3,10,15,15,12,15,13,15,14,14,13,14,13,15,15,13,10,15,15,14,14,14,14,9,15,14,14,12,148,160
